"","X","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"1056",1427,"10_1037_lhb0000641",2,1,43192,"development","prognostic",0.76,0.75,0.77,NA,NA,NA,NA,NA,NA,"yes",NA,"Appendix Figure I1","no"
"5577",7021,"10_1007_s00428-024-04020-2",3,1,435,"development","diagnostic",0.891,NA,NA,82.7,NA,NA,79.9,NA,NA,"yes",NA,"Figure 1D","no"
"4987",6247,"10_3390_biomedicines13051025",4,1,201,"internal validation","prognostic",0.74,NA,NA,67,NA,NA,65,NA,NA,"yes","blue","Figure 2A","no"
"651",890,"10_1016_j_pan_2025_07_417",5,2,300,"development","prognostic",0.972,0.947,0.999,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3b","no"
"3757",4836,"10_3389_fendo_2025_1658068",3,6,14498,"internal validation","diagnostic",0.847,0.837,0.857,NA,NA,NA,NA,NA,NA,"yes","red","Figure 1B","no"
"5881",7415,"10_1002_ccs3_70047",1,6,NA,"development","diagnostic",0.934,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3B","no"
"4839",6066,"10_3389_fpsyt_2025_1453852",5,1,2396,"development","diagnostic",0.97,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4C","no"
"5883",7417,"10_1002_ccs3_70047",1,8,NA,"external validation","diagnostic",0.991,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2C","no"
"6735",8429,"10_1016_j_canlet_2025_217456",2,17,97,"development","diagnostic",0.806,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure S5E","no"
"7514",9602,"10_1016_j_ijbiomac_2025_146075",2,3,1152,"development","diagnostic",0.9406,NA,NA,81.42,NA,NA,92.53,NA,NA,"yes","could not determine","Figure 2C","no"
"6266",7853,"10_1007_s13167-025-00412-9",4,35,716,"external validation","diagnostic",0.873,0.838,0.907,84.4,NA,NA,77.2,NA,NA,"yes","could not determine","Figure 4b","no"
"2418",3234,"10_1186_s12931-025-03242-5",4,5,229,"development","diagnostic",0.886,NA,NA,83,NA,NA,86,NA,NA,"yes","blue","Figure 4a","no"
"4664",5835,"10_3389_fnut_2025_1666477",2,4,4678,"development","prognostic",0.916,NA,NA,77.5,NA,NA,39.4,NA,NA,"yes","could not determine","Figure 3B","no"
"3001",3920,"10_2147_cia_s523443",5,2,1177,"development","diagnostic",0.678,0.553,0.803,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2","no"
"388",580,"10_1016_j_joim_2025_11_002",1,3,326,"development","diagnostic",0.682,0.57,0.793,72,NA,NA,41.2,NA,NA,"yes",NA,"Figure 2 (ROC curve of spleen weakness)","no"
"5368",6793,"10_3802_jgo_2025_36_e81",4,23,135,"development","diagnostic",0.7669,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"4558",5725,"10_3389_fnut_2025_1560655",5,15,525,"development","prognostic",0.699,0.65,0.748,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3E","no"
"7592",9690,"10_1016_j_ijmedinf_2025_105916",1,24,534,"development","prognostic",0.975,0.961,0.989,94.9,NA,NA,88.3,NA,NA,"yes","could not determine","Figure 4A","no"
"3189",4122,"10_2147_tcrm_s521755",2,4,247,"development","diagnostic",0.891,0.859,0.916,91.73,NA,NA,87.62,NA,NA,"yes","could not determine","Figure 4","no"
"3689",4768,"10_3389_fendo_2025_1593917",2,12,5584,"development","prognostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"645",876,"10_1016_j_pan_2025_09_006",1,7,67,"internal validation","prognostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4N","no"
"6650",8312,"10_1002_hed_28172",5,3,670,"development","prognostic",0.745,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"2161",2862,"10_1111_vsu_14250",5,4,162,"development","prognostic",0.9004,0.8095,0.9705,87.5,NA,NA,75,NA,NA,"yes","red","Figure 1","no"
"7576",9674,"10_1016_j_ijmedinf_2025_105843",3,1,3894,"internal validation","prognostic",0.826,0.794,0.859,99,97.5,100,11.7,9.8,13.6,"yes","blue","Figure 3","no"
"2483",3310,"10_1186_s13040-025-00491-4",4,7,274,"development","prognostic",0.897,0.846,0.94,81,NA,NA,86.7,NA,NA,"yes","red","Figure 3A","no"
"4093",5200,"10_3389_fmed_2025_1581904",2,16,2208,"development","diagnostic",0.653,0.629,0.678,44.9,42.4,47.4,79.1,76,82.1,"yes","could not determine","Figure 2B","no"
"1009",1368,"10_1016_j_urolonc_2025_09_001",3,4,574,"development","diagnostic",0.574,0.53,0.62,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 1A","no"
"1812",2343,"10_1007_s00247-025-06351-x",3,1,163,"development","diagnostic",0.93,0.9,0.98,93,85,97,94,86,98,"yes","could not determine","Figure 4","no"
"7211",9198,"10_1016_j_ejrad_2025_112027",2,5,76,"external validation","prognostic",0.843,0.737,0.95,NA,NA,NA,NA,NA,NA,"yes","yellow","Figure 2B","no"
"2594",3421,"10_1186_s13244-025-02063-w",5,18,85,"external validation","diagnostic",0.93,0.89,0.97,75,NA,NA,96,NA,NA,"yes","could not determine","Figure 3A","no"
"2961",3850,"10_2106_jbjs_24_01559",5,4,173,"internal validation","diagnostic",0.9516,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5C","no"
"3445",4426,"10_3389_fcvm_2025_1613975",5,18,157,"internal validation","prognostic",0.571,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 4D","no"
"6826",8581,"10_1016_j_cgh_2025_05_013",2,3,36,"development","diagnostic",0.75,0.55,0.95,71,NA,NA,76,NA,NA,"yes","could not determine","Figure 3B","no"
"2497",3324,"10_1186_s13244-024-01874-7",1,7,530,"development","diagnostic",0.906,0.881,0.932,81.1,NA,NA,84.6,NA,NA,"yes","solid","Figure 4A","no"
"1092",1463,"10_1038_s41386-025-02176-2",2,4,161,"development","diagnostic",0.659,0.611,0.704,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"3523",4510,"10_3389_fendo_2025_1501383",3,9,781,"development","diagnostic",0.68,0.61,0.74,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"5588",7032,"10_1007_s00415-025-13361-0",5,8,564,"development","prognostic",0.8,0.733,0.867,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 6a","no"
"5592",7036,"10_1002_ccd_31535",1,2,176,"development","diagnostic",0.835,0.758,0.912,78.4,NA,NA,86.4,NA,NA,"yes",NA,"Figure 1B","no"
"3936",5043,"10_1007_s00330-025-11981-8",2,11,31,"internal validation","diagnostic",0.77,0.59,0.96,91,80,100,80,60,100,"yes","orange","Figure 3d","no"
"938",1279,"10_1016_j_tox_2025_154237",2,15,247,"development","diagnostic",0.09,NA,NA,83.6,NA,NA,77.2,NA,NA,"yes","could not determine","Figure 2B","no"
"1498",1990,"10_1093_brain_awaf418",4,5,NA,"development","diagnostic",0.779,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2E","no"
"442",647,"10_1016_j_jpsychires_2025_04_026",4,2,128,"development","diagnostic",0.71,0.62,0.8,81.33,NA,NA,50.94,NA,NA,"yes","could not determine","Figure 2A","no"
"1752",2266,"10_1097_js9_0000000000002730",4,1,1031,"external validation","prognostic",0.883,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"7161",9148,"10_1016_j_ejim_2025_04_027",5,3,276,"internal validation","prognostic",0.81,0.75,0.86,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2","no"
"6475",8077,"10_1016_j_ajem_2025_01_012",3,1,130,"development","prognostic",0.758,0.673,0.842,68,46.5,85.1,73.3,63.8,81.5,"yes","blue","Figure 3","no"
"7714",9857,"10_1002_ana_27260",2,6,20043,"development","diagnostic",0.97,0.96,0.97,78,73,84,89,87,90,"yes","could not determine","Figure 2G","no"
"4998",6262,"10_3390_biomedicines13122906",1,3,86,"development","prognostic",0.784,0.684,0.884,51.1,NA,NA,82.9,NA,NA,"yes","could not determine","Figure 5A","no"
"5913",7450,"10_1007_s10238-025-01670-7",3,6,65,"internal validation","prognostic",0.776,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4C","no"
"171",217,"10_1016_j_jad_2025_119703",4,2,2241,"internal validation","prognostic",0.9,0.88,0.92,15.6,NA,NA,93.7,NA,NA,"yes",NA,"Figure S1","no"
"822",1116,"10_1016_j_spinee_2025_05_025",1,4,103,"external validation","prognostic",0.676,0.478,0.875,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"4757",5930,"10_3389_fphar_2024_1449603",4,6,772,"development","prognostic",0.697,0.663,0.729,NA,NA,NA,NA,NA,NA,"yes","pink","Figure 3A","no"
"4922",6182,"10_1007_s00403-024-03788-2",2,3,200,"development","diagnostic",0.76,0.69,0.82,81,NA,NA,80,NA,NA,"yes","could not determine","Figure 2","no"
"4139",5246,"10_3389_fmed_2025_1606336",1,2,1582,"development","diagnostic",0.997,0.993,0.999,NA,NA,NA,99.4,NA,NA,"yes",NA,"Figure 5","no"
"6158",7741,"10_1007_s12975-025-01345-1",3,5,150,"development","diagnostic",0.977,0.957,0.998,91.4,82.5,96.2,95.7,87,98.9,"yes","could not determine","Figure 4c","no"
"1067",1438,"10_1038_s41366-025-01890-7",3,8,1207,"development","prognostic",0.7574,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Supplementary Fig. 2","no"
"4895",6128,"10_3389_fragi_2025_1532550",2,3,121,"internal validation","diagnostic",0.878,0.807,0.949,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4","no"
"2295",3083,"10_1007_s00259-025-07325-9",5,3,72,"development","diagnostic",0.925,0.865,0.985,91.1,NA,NA,81.5,NA,NA,"yes","could not determine","Figure 1","no"
"6899",8673,"10_1016_j_cmpb_2025_108589",1,5,1242,"development","prognostic",0.87,NA,NA,80,NA,NA,81.63,NA,NA,"yes",NA,"Figure 2A","no"
"4955",6215,"10_3390_biomedicines13040997",3,3,1795,"development","diagnostic",0.755,0.711,0.8,NA,NA,NA,NA,NA,NA,"yes","pink","Figure 1","no"
"5632",7076,"10_1007_s00464-025-12101-9",3,1,496,"development","diagnostic",0.796,0.759,0.833,69.3,NA,NA,73.7,NA,NA,"yes","could not determine","Figure 5A","no"
"3210",4143,"10_2196_63352",1,1,270,"internal validation","diagnostic",0.73,NA,NA,87,NA,NA,39,NA,NA,"yes","orange dashed","Figure 1","no"
"3865",4967,"10_3389_fendo_2025_1701729",4,1,13047,"internal validation","diagnostic",0.78,0.77,0.79,82,80,83,68,67,69,"yes","could not determine","could not determine","no"
"5570",7014,"10_3389_fmolb_2025_1600626",1,10,49,"external validation","prognostic",0.796,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 5I","no"
"3548",4610,"10_3389_fendo_2025_1504878",4,1,1463,"development","diagnostic",0.5773,0.5321,0.6225,43.6,NA,NA,70.95,NA,NA,"yes","could not determine","Figure 4","no"
"2754",3590,"10_1186_s40644-025-00856-2",4,6,93,"internal validation","diagnostic",0.779,0.681,0.858,78.3,61.4,95.1,68.6,57.8,79.4,"yes","could not determine","Figure S3","no"
"7575",9673,"10_1016_j_ijmedinf_2025_105793",1,12,34,"external validation","diagnostic",0.945,0.857,1,92.3,62.1,99.6,85.7,62.6,96.2,"yes","black","Figure 4c","no"
"6579",8198,"10_1016_j_ajo_2025_07_026",5,43,253,"development","prognostic",0.88,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"5093",6369,"10_3390_cancers17152515",3,31,1827,"development","prognostic",0.79,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6c","no"
"468",673,"10_1016_j_jtherbio_2025_104280",3,4,197,"development","diagnostic",0.915,NA,NA,84.8,NA,NA,NA,NA,NA,"yes","could not determine","Figure 12","no"
"4546",5713,"10_3389_fnut_2025_1560655",5,3,525,"development","prognostic",0.796,0.738,0.855,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3F","no"
"5062",6338,"10_3390_cancers17142411",2,6,98,"internal validation","prognostic",0.804,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 6E (5-year validation)","no"
"2059",2726,"10_1111_jcpe_14194",4,39,273,"development","prognostic",0.58,0.34,0.82,0,NA,NA,100,NA,NA,"yes","could not determine","Figure 2","no"
"6680",8357,"10_1016_j_autrev_2025_103857",2,8,2235,"development","prognostic",0.97,NA,NA,94,NA,NA,NA,NA,NA,"yes",NA,"Figure 27","no"
"5642",7086,"10_1007_s00464-025-11596-6",5,6,307,"external validation","prognostic",0.758,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3F","no"
"7325",9331,"10_1016_j_ejrad_2025_112414",5,1,39,"internal validation","diagnostic",0.869,0.722,0.955,85.7,NA,NA,83.3,NA,NA,"yes","could not determine","Figure 2A","no"
"1919",2584,"10_1111_cas_16430",5,2,72,"development","diagnostic",0.73,0.61,0.84,49,NA,NA,96,81,100,"yes",NA,"Figure 5A","no"
"2760",3596,"10_1186_s40644-025-00856-2",4,12,117,"internal validation","diagnostic",0.726,0.636,0.805,79.2,62.9,95.4,61.3,51.4,71.2,"yes","could not determine","Figure S3","no"
"2657",3484,"10_1007_s00259-025-07603-6",5,29,259,"development","diagnostic",0.872,0.803,0.933,75.6,NA,NA,85.3,NA,NA,"yes","could not determine","Figure 3g","no"
"3511",4498,"10_3389_fendo_2025_1490229",1,5,5561,"development","prognostic",0.76,0.46,1.06,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5C","no"
"4595",5762,"10_3389_fnut_2025_1574063",4,7,7092,"development","diagnostic",0.928,NA,NA,92,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1a","no"
"3667",4746,"10_3389_fendo_2025_1593068",1,26,3000,"development","diagnostic",0.9515,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3E","no"
"269",418,"10_1016_j_jdent_2025_105992",4,6,282,"development","diagnostic",0.86,NA,NA,48,NA,NA,95,NA,NA,"yes",NA,"Figure 4","no"
"6771",8525,"10_1016_j_cca_2025_120246",3,13,105,"development","diagnostic",0.914,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4G","no"
"3692",4771,"10_3389_fendo_2025_1593917",2,15,5584,"development","prognostic",0.76,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"2300",3089,"10_1177_17534666251359139",2,4,297,"internal validation","diagnostic",0.83,0.77,0.891,90.4,NA,NA,60.9,NA,NA,"yes","blue","Figure 3B","no"
"7536",9624,"10_1016_j_identj_2025_104011",5,2,264,"development","diagnostic",0.995,0.986,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"6917",8691,"10_1016_j_clnu_2025_05_015",5,4,2955,"development","diagnostic",0.646,0.618,0.674,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2","no"
"5652",7133,"10_1007_s00467-025-06701-9",5,5,144,"external validation","prognostic",0.849,0.778,0.921,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3A","no"
"3575",4647,"10_1007_s00330-025-11640-y",5,12,764,"development","diagnostic",0.73,0.68,0.78,84,NA,NA,54.9,NA,NA,"yes","could not determine","Figure 4A","no"
"1625",2130,"10_1097_corr_0000000000003520",4,11,40,"development","diagnostic",0.98,0.92,1,96,NA,NA,81,NA,NA,"yes",NA,"Figure 3K","no"
"2753",3589,"10_1186_s40644-025-00856-2",4,5,156,"development","diagnostic",0.872,0.81,0.92,82.9,70.4,95.3,81,74,88,"yes","could not determine","Figure S3","no"
"7541",9629,"10_1016_j_identj_2025_104011",5,7,264,"development","diagnostic",1,1,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"1473",1943,"10_1007_s00234-025-03698-8",3,21,244,"development","diagnostic",0.92,0.884,0.956,79.7,NA,NA,88.9,NA,NA,"yes","could not determine","Figure 4C","no"
"4925",6185,"10_1007_s00404-024-07901-8",3,3,1288,"development","diagnostic",0.88,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"4300",5424,"10_1007_s00330-025-12117-8",3,1,158,"development","diagnostic",0.95,0.91,1,88.97,NA,NA,90.91,NA,NA,"yes","green","Figure 4a","no"
"7291",9292,"10_1016_j_ejrad_2025_112199",4,1,260,"development","diagnostic",0.82,NA,NA,76,NA,NA,74,NA,NA,"yes","blue","Figure 4a","no"
"1539",2044,"10_1097_brs_0000000000005595",3,3,787,"development","prognostic",0.762,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"7216",9203,"10_1016_j_ejrad_2025_112048",3,4,44,"internal validation","diagnostic",0.755,0.602,0.872,76.5,NA,NA,63,NA,NA,"yes","green","Figure 5B","no"
"5473",6916,"10_23736_s1973-9087_25_08784-2",5,6,35,"development","diagnostic",0.699,NA,NA,45.7,NA,NA,83.9,NA,NA,"yes","could not determine","Figure 3F","no"
"2984",3901,"10_2147_clep_s566997",3,10,689,"external validation","prognostic",0.73,0.669,0.791,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"5375",6800,"10_3802_jgo_2025_36_e81",4,30,63,"internal validation","diagnostic",0.9636,NA,NA,90,NA,NA,100,NA,NA,"yes","red","Figure 5D","no"
"4938",6198,"10_3390_biomedicines13030671",1,1,87,"development","diagnostic",0.69,0.569,0.812,53.85,NA,NA,70.15,NA,NA,"yes","blue","Figure 4A","no"
"4506",5668,"10_3389_fnagi_2025_1597511",4,5,150,"development","diagnostic",0.8304,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5E","no"
"3377",4356,"10_3389_fcvm_2025_1571468",3,2,75,"internal validation","prognostic",0.819,0.704,0.934,75,62.1,87.9,79.1,67.6,90.6,"yes","could not determine","Figure 4B","no"
"7005",8884,"10_1016_j_compbiomed_2025_110066",4,11,678,"internal validation","diagnostic",0.632,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red/pink","Figure 4 Validation Set 10 panel","no"
"4364",5492,"10_3389_fmed_2025_1671278",1,3,837,"development","diagnostic",1,NA,NA,100,NA,NA,100,NA,NA,"yes","could not determine","Figure 2A","no"
"2367",3164,"10_1177_23259671251356632",1,1,177,"development","diagnostic",0.723,0.644,0.802,82.4,NA,NA,56.5,NA,NA,"yes","blue","Figure 9","no"
"7105",9020,"10_1016_j_dld_2025_06_016",2,3,426529,"development","prognostic",0.819,0.776,0.863,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"6410",8011,"10_1016_j_acra_2025_06_023",1,1,113,"development","diagnostic",0.802,0.718,0.886,84.2,NA,NA,69.7,NA,NA,"yes","cyan/teal","Figure 8a","no"
"7707",9848,"10_1002_1878-0261_70084",1,10,686,"internal validation","diagnostic",0.997,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5G","no"
"1592",2097,"10_1097_ijg_0000000000002596",1,4,54,"development","diagnostic",0.88,NA,NA,82,NA,NA,NA,NA,NA,"yes",NA,"Figure 5A","no"
"4650",5820,"10_1007_s00345-025-06132-z",3,4,84,"internal validation","diagnostic",0.78,NA,NA,NA,NA,NA,89,NA,NA,"yes","could not determine","Figure 1B","no"
"2479",3306,"10_1186_s13040-025-00491-4",4,3,274,"development","prognostic",0.921,0.882,0.954,73,NA,NA,92.4,NA,NA,"yes","orange","Figure 3A","no"
"6430",8031,"10_1016_j_acra_2025_07_060",3,12,130,"internal validation","diagnostic",1,1,1,100,NA,NA,100,NA,NA,"yes","could not determine","could not determine","no"
"6694",8371,"10_1016_j_biomaterials_2025_123286",3,8,91,"development","diagnostic",0.8882,NA,NA,74,NA,NA,100,NA,NA,"yes",NA,"Figure 7H","no"
"2612",3439,"10_1007_s00261-025-04873-4",3,5,545,"internal validation","prognostic",0.8,NA,NA,71,NA,NA,78.1,NA,NA,"yes","could not determine","Figure 4","no"
"3573",4645,"10_1007_s00330-025-11593-2",4,7,115,"external validation","diagnostic",0.756,0.624,0.868,84,52.38,90,73.42,63.01,82.56,"yes","green","Figure 3B","no"
"6357",7958,"10_1016_j_acra_2025_04_012",2,6,90,"internal validation","diagnostic",0.74,0.677,0.804,NA,NA,NA,NA,NA,NA,"yes","green","Figure 4b","no"
"2558",3385,"10_1186_s13550-025-01245-3",3,7,206,"development","diagnostic",0.98,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5","no"
"3662",4741,"10_3389_fendo_2025_1593068",1,21,3000,"development","diagnostic",0.9088,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"810",1104,"10_1016_j_sleep_2025_106559",5,16,51,"development","diagnostic",0.855,0.724,0.945,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"7402",9430,"10_1002_jper_70047",2,3,146,"development","prognostic",0.77,0.593,0.946,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"4659",5830,"10_3389_fnut_2025_1662140",1,2,563,"development","diagnostic",0.7,0.653,0.748,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2","no"
"4026",5133,"10_3389_fmed_2025_1557702",4,1,134,"development","prognostic",0.909,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2B","no"
"6728",8422,"10_1016_j_canlet_2025_217456",2,10,94,"external validation","diagnostic",0.878,0.809,0.948,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 6D3","no"
"2953",3837,"10_2147_ceor_s479603",2,1,55000,"development","prognostic",0.7,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 12","no"
"5421",6855,"10_21037_tlcr-2025-237",2,1,556,"development","diagnostic",0.851,0.819,0.883,77.7,NA,NA,77.6,NA,NA,"yes","could not determine","Figure 4A","no"
"5402",6834,"10_15441_ceem_25_075",2,10,135,"development","prognostic",0.691,0.601,0.772,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"1806",2337,"10_1007_s00247-025-06246-x",2,1,101,"development","diagnostic",0.77,NA,NA,77.97,NA,NA,71.43,NA,NA,"yes","could not determine","Figure 6","no"
"891",1222,"10_1002_wjs_70062",1,3,414,"development","diagnostic",0.571,0.528,0.614,17,NA,NA,97,NA,NA,"yes",NA,"Figure 2a","no"
"3036",3960,"10_1007_s00330-025-11377-8",2,9,126,"external validation","diagnostic",0.8,0.722,0.878,85.7,77.1,94.4,71.4,60.3,82.6,"yes","could not determine","Figure 4C","no"
"970",1315,"10_1016_j_ultrasmedbio_2025_08_004",2,2,4,"internal validation","diagnostic",0.75,0.202,1,NA,NA,NA,NA,NA,NA,"yes","green","Figure 5B","no"
"7435",9481,"10_1002_jmri_70205",5,12,111,"internal validation","diagnostic",0.963,0.934,0.993,96.4,NA,NA,74.1,NA,NA,"yes","could not determine","Figure 7B","no"
"5552",6996,"10_3389_fcell_2025_1677290",1,13,641,"development","prognostic",0.829,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 7E","no"
"856",1170,"10_1016_j_tjpad_2025_100077",2,6,2118,"development","diagnostic",0.87,0.82,0.89,78.6,NA,NA,78.7,NA,NA,"yes","could not determine",NA,"no"
"1650",2156,"10_1097_js9_0000000000002677",3,1,274,"development","diagnostic",0.915,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"5934",7471,"10_1007_s10238-025-01873-y",1,9,3234,"internal validation","diagnostic",0.8917,NA,NA,81.79,NA,NA,82.64,NA,NA,"yes","could not determine","Figure 4","no"
"1298",1712,"10_1080_07853890_2025_2490825",2,1,40,"development","diagnostic",0.78,NA,NA,72,NA,NA,24,NA,NA,"yes",NA,"Figure 3","no"
"7538",9626,"10_1016_j_identj_2025_104011",5,4,264,"development","diagnostic",1,1,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"3866",4968,"10_3389_fendo_2025_1701729",4,2,13047,"internal validation","diagnostic",0.75,0.74,0.76,75,74,77,72,71,73,"yes","could not determine","could not determine","no"
"4876",6109,"10_3389_fpsyt_2025_1636560",5,4,119,"development","diagnostic",0.75,0.67,0.84,66,NA,NA,65,NA,NA,"yes","solid purple","Figure 4","no"
"2471",3296,"10_1186_s13075-025-03478-y",3,3,1155,"development","diagnostic",0.833,0.7,0.966,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"3546",4608,"10_3389_fendo_2025_1532840",3,1,301,"development","diagnostic",0.921,0.877,0.964,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"6651",8313,"10_1002_hed_28172",5,4,289,"internal validation","prognostic",0.717,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"1245",1653,"10_1080_0886022x_2025_2509786",1,7,412,"development","prognostic",0.585,NA,NA,63.58,NA,NA,52.1,NA,NA,"yes",NA,"Figure 3a","no"
"7240",9227,"10_1016_j_ejrad_2025_111983",5,10,144,"external validation","diagnostic",0.78,0.73,0.84,57,45,68,100,100,100,"yes","could not determine","Figure 4B","no"
"7464",9528,"10_1016_j_exger_2025_112846",3,1,4149,"development","diagnostic",0.666,0.637,0.695,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 6","no"
"5763",7294,"10_1007_s00701-025-06566-9",5,1,41,"development","prognostic",0.64,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4832",6053,"10_3389_fpsyt_2025_1557659",3,3,156,"development","diagnostic",0.746,0.687,0.806,96.1,NA,NA,53.2,NA,NA,"yes",NA,"Figure 3","no"
"3326",4285,"10_3389_fbioe_2025_1529545",1,1,470,"development","diagnostic",0.7006,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2","no"
"4916",6160,"10_3389_fvets_2025_1555714",4,3,156,"development","prognostic",0.73,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5","no"
"3307",4266,"10_1007_s00330-025-11448-w",1,1,1632,"development","prognostic",0.877,0.845,0.91,85.1,74.9,95.3,80.2,78.4,82,"yes","could not determine","Figure 5","no"
"6012",7566,"10_1007_s11547-025-01949-5",2,33,222,"external validation","diagnostic",0.796,0.76,0.833,79.1,NA,NA,46.4,NA,NA,"yes","could not determine","Figure 4c","no"
"1204",1598,"10_1007_s00198-025-07503-3",2,2,2029,"development","prognostic",0.75,0.72,0.78,75,NA,NA,59,NA,NA,"yes","blue solid","Figure 2B","no"
"4654",5824,"10_1007_s00345-025-06132-z",3,10,84,"internal validation","diagnostic",0.94,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1F","no"
"7646",9744,"10_1016_j_ijmedinf_2025_106018",3,33,1777,"external validation","prognostic",0.81,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5C","no"
"262",366,"10_1016_j_jep_2025_120451",2,9,69852,"development","diagnostic",0.9778,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 9","no"
"4428",5580,"10_3389_fmicb_2025_1653249",1,1,90,"development","prognostic",0.81,0.72,0.91,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"3773",4852,"10_3389_fendo_2025_1651370",5,8,3305,"development","diagnostic",0.666,0.65,0.682,71.3,NA,NA,54,NA,NA,"yes","could not determine","Figure 5D","no"
